State,Female,Male
RS,740920,912403
RJ,641035,679038
RN,141975,167895
PI,151726,192273
AM,113855,138846
BA,441376,567728
SE,86400,109290
PE,317543,357288
PA,287841,342727
SC,447090,611035
AL,90487,113261
CE,285525,314451
AC,38077,46471
SP,1705348,2076520
DF,123144,110032
AP,50538,49092
TO,99589,128363
PB,185252,217688
MA,283787,330030
ES,164943,222094
MS,168995,191392
GO,356523,447428
MG,824498,1171591
RR,29056,30762
PR,500988,727472
RO,81540,114620
MT,167081,225316
