State,Female,Male
RS,402,860
RJ,1030,2351
RN,151,325
PI,127,276
SP,1115,2432
BA,332,743
ES,248,545
PA,251,564
SC,226,498
AL,120,265
CE,233,551
AC,174,375
MS,159,335
DF,356,796
AP,177,386
TO,97,234
PB,162,379
MA,225,475
PE,316,675
GO,323,717
MG,651,1488
RR,197,430
PR,360,823
MT,157,352
AM,228,525
RO,146,363
SE,143,313
